run,type,module,name,attrname,attrvalue,value
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,TooLittleTime,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,TimesIntoBackoff,,,40
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,SlotsBackoff,,,61
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,NumInternalContention,,,0
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,totalBusyTime,,,0.0042
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,retriesExceeded:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.rsu[0].nic.mac1609_4,retriesExceeded:count,source,org_car2x_veins_modules_mac_sigRetriesExceeded,
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,sentAcks:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.rsu[0].nic.mac1609_4,sentAcks:count,source,org_car2x_veins_modules_mac_sigSentAck,
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,sentPackets:count,,,40
Default-0-20210305-14:43:10-7736,attr,Lucky.rsu[0].nic.mac1609_4,sentPackets:count,source,org_car2x_veins_modules_mac_sigSentPacket,
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,collisions:count,,,0
Default-0-20210305-14:43:10-7736,attr,Lucky.rsu[0].nic.mac1609_4,collisions:count,source,org_car2x_veins_modules_mac_sigCollision,
Default-0-20210305-14:43:10-7736,scalar,Lucky.rsu[0].nic.mac1609_4,channelBusy:timeavg,,,2.1e-05
Default-0-20210305-14:43:10-7736,attr,Lucky.rsu[0].nic.mac1609_4,channelBusy:timeavg,source,org_car2x_veins_modules_mac_sigChannelBusy,
